DATA;DIA DA SEMANA;CONSULTOR;ROTA;REGIONAL;CONSULTOR - ROTA;CLIENTE;FILIAL;CNPJ;CHECK IN ;CHECK OUT
30/04/2026;THURSDAY;DIOGO DO NASCIMENTO SANTOS;SPI_2;SUDESTE;CONSULTOR - RJ;CLIMA RIO;S01542 - CLIMA RIO - AVENIDA VINTE E QUATRO DE OUTUBRO - 196 - GOIANIA - GO;08824171001542;13:00;15:30
13/04/2026;MONDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - PENHA SAO PAULO/SP;92660406003487;09:00;12:00
13/04/2026;MONDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - QUIRINO SAO PAULO/SP;92660406005935;14:00;18:00
14/04/2026;TUESDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;BHP;BHP - SOROCABA/SP;53484010000610;09:00;11:00
14/04/2026;TUESDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - SOROCABA/SP;92660406005854;13:00;16:00
15/04/2026;WEDNESDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - QUIRINO SAO PAULO/SP;92660406005935;09:00;12:00
15/04/2026;WEDNESDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIOPEÇAS;FRIOPECAS - SAO PAULO/SP;09316105000390;14:00;18:00
16/04/2026;THURSDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - SANTOS/SP;92660406005692;12:00;16:00
16/04/2026;THURSDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;BHP;BHP - SANTOS/SP;53484010000700;09:00;11:00
17/04/2026;FRIDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;CLIMARIO;CLIMA RIO - SAO PAULO/SP;08824171002867;14:00;18:00
17/04/2026;FRIDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;UNIS BONSHOP;DIS - SAO PAULO/SP;23209013000170;09:00;12:00
20/04/2026;MONDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - PENHA SAO PAULO/SP;92660406003487;09:00;12:00
20/04/2026;MONDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - QUIRINO SAO PAULO/SP;92660406005935;14:00;18:00
22/04/2026;WEDNESDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;CLIMARIO;CLIMA RIO - SOROCABA/SP;08824171001623;09:00;12:00
22/04/2026;WEDNESDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - SOROCABA/SP;92660406005854;13:30;16:00
23/04/2026;THURSDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - SAO JOSE DOS CAMPOS/SP;92660406004459;14:00;16:00
23/04/2026;THURSDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;CLIMARIO;CLIMA RIO - SAO JOSE DOS CAMPOS/SP;08824171001704;09:00;11:00
23/04/2026;THURSDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;HAVAN;REGIONAL SUL - HAVAN - 0067 - SAO JOSE DOS CAMPOS - MONTE CASTELO - SP;79379491006700;11:30;13:30
24/04/2026;FRIDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;CLIMARIO;CLIMA RIO - SAO PAULO/SP;08824171002867;14:00;18:00
24/04/2026;FRIDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;UNIS BONSHOP;DIS - SAO PAULO/SP;23209013000170;09:00;12:00
27/04/2026;MONDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - PENHA SAO PAULO/SP;92660406003487;09:00;12:00
27/04/2026;MONDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - QUIRINO SAO PAULO/SP;92660406005935;14:00;18:00
28/04/2026;TUESDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;CLIMARIO;CLIMA RIO - SOROCABA/SP;08824171001623;09:00;12:00
28/04/2026;TUESDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;HAVAN;REGIONAL SUL - HAVAN - 0070 - SOROCABA - JARDIM SANTA CECILIA - SP;79379491007005;14:00;16:00
29/04/2026;WEDNESDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;FRIGELAR;FRIGELAR - ESCRITORIO SAO PAULO/SP;92660406006230;09:00;12:00
29/04/2026;WEDNESDAY;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SUDESTE;CONSULTOR - SP;CENTRAL AR;CENTRAL AR - ESCRITORIO SAO PAULO/SP;08382929002005;14:00;18:00
