REDE;CLIENTE;LOJA;CONSULTOR;CNPJ;NOME PDV
COLOMBO;COLOMBO;85652 - COLOMBO - PRACA PRACA PEDRO ALZIDE GIRALDI - 999 - QUEDAS DO IGUACU - PR;BIBIANO RODRIGUES NETO;8,98E+13;85652 - COLOMBO - PRACA PRACA PEDRO ALZIDE GIRALDI - 999 - QUEDAS DO IGUACU - PR
COLOMBO;COLOMBO;85490 - COLOMBO - RUA PADRE JONAS VAZ SANTOS - 469 - SERTANOPOLIS - PR;BIBIANO RODRIGUES NETO;8,98E+13;85490 - COLOMBO - RUA PADRE JONAS VAZ SANTOS - 469 - SERTANOPOLIS - PR
COLOMBO;COLOMBO;85300 - COLOMBO - RUA BARAO DO RIO BRANCO - 295 - WENCESLAU BRAZ - PR;BIBIANO RODRIGUES NETO;8,98E+13;85300 - COLOMBO - RUA BARAO DO RIO BRANCO - 295 - WENCESLAU BRAZ - PR
COLOMBO;COLOMBO;85229 - COLOMBO - RUA QUINZE DE NOVEMBRO - 7535 - JOINVILLE - SC;BIBIANO RODRIGUES NETO;8,98E+13;85229 - COLOMBO - RUA QUINZE DE NOVEMBRO - 7535 - JOINVILLE - SC
COLOMBO;COLOMBO;85148 - COLOMBO - AVENIDA BRASIL - 814 - FOZ DO IGUACU - PR;BIBIANO RODRIGUES NETO;8,98E+13;85148 - COLOMBO - AVENIDA BRASIL - 814 - FOZ DO IGUACU - PR
COLOMBO;COLOMBO;85067 - COLOMBO - RUA DOUTOR GENARO RESENDE - 1106 - CAMBARA - PR;BIBIANO RODRIGUES NETO;8,98E+13;85067 - COLOMBO - RUA DOUTOR GENARO RESENDE - 1106 - CAMBARA - PR
COLOMBO;COLOMBO;84923 - COLOMBO - RODOVIA ENGENHEIRO DARCI GOMES DE MORAES - 627 - PONTAL DO PARANA - PR;BIBIANO RODRIGUES NETO;8,98E+13;84923 - COLOMBO - RODOVIA ENGENHEIRO DARCI GOMES DE MORAES - 627 - PONTAL DO PARANA - PR
COLOMBO;COLOMBO;84680 - COLOMBO - AV SILVIO AMERICO SASDELLI - 1842 - FOZ DO IGUACU - PR;BIBIANO RODRIGUES NETO;8,98E+13;84680 - COLOMBO - AV SILVIO AMERICO SASDELLI - 1842 - FOZ DO IGUACU - PR
COLOMBO;COLOMBO;84508 - COLOMBO - AV LONDRINA - 644 - SARANDI - PR;BIBIANO RODRIGUES NETO;8,98E+13;84508 - COLOMBO - AV LONDRINA - 644 - SARANDI - PR
COLOMBO;COLOMBO;84419 - COLOMBO - AV 14 DE DEZEMBRO - 355 - NOVA ESPERANCA - PR;BIBIANO RODRIGUES NETO;8,98E+13;84419 - COLOMBO - AV 14 DE DEZEMBRO - 355 - NOVA ESPERANCA - PR
COLOMBO;COLOMBO;84176 - COLOMBO - RUA SAO PAULO - 444 - ANDIRA - PR;BIBIANO RODRIGUES NETO;8,98E+13;84176 - COLOMBO - RUA SAO PAULO - 444 - ANDIRA - PR
COLOMBO;COLOMBO;83870 - COLOMBO - AV AV VEREADOR SILVIO ALVES - 1188 - PAICANDU - PR;BIBIANO RODRIGUES NETO;8,98E+13;83870 - COLOMBO - AV AV VEREADOR SILVIO ALVES - 1188 - PAICANDU - PR
